customer_id,segment,preferred_cats,price_sensitivity,n_events,n_purchases
1,engaged,khoa học|lập trình|toán học,1,19,1
2,loyal,nghệ thuật,0,48,6
3,casual,nghệ thuật|triết học,2,6,0
4,loyal,toán học|triết học|thiếu nhi,3,25,3
5,loyal,lịch sử|lập trình,2,29,3
6,engaged,văn học|thiếu nhi,3,26,1
7,loyal,khoa học|nghệ thuật,1,36,6
8,loyal,khoa học|thiếu nhi,1,39,6
9,champion,lịch sử,3,39,9
10,loyal,thiếu nhi|lịch sử,3,33,6
11,loyal,lịch sử|nghệ thuật,1,28,4
12,loyal,lịch sử|kinh doanh|tâm lý,2,15,3
13,engaged,kỹ năng sống|thiếu nhi|kinh doanh,1,23,2
14,loyal,triết học|nghệ thuật,1,20,4
15,loyal,thiếu nhi|lịch sử|kỹ năng sống,4,36,5
16,loyal,nghệ thuật|triết học,2,29,5
17,engaged,kỹ năng sống|khoa học,0,11,1
18,loyal,kinh doanh,2,17,4
19,champion,kinh doanh|tâm lý|kỹ năng sống,1,44,8
20,loyal,triết học|khoa học,2,50,5
21,loyal,lập trình|thiếu nhi,1,42,6
22,casual,lập trình|triết học,1,9,0
23,loyal,thiếu nhi|nghệ thuật,2,32,5
24,engaged,khoa học|kỹ năng sống|văn học,3,12,1
25,loyal,nghệ thuật|lịch sử|kinh doanh,2,33,7
26,champion,triết học|toán học|thiếu nhi,2,50,9
27,engaged,thiếu nhi,3,22,1
28,engaged,lịch sử,4,7,1
29,engaged,tâm lý|lập trình|triết học,4,12,2
30,loyal,kinh doanh|kỹ năng sống|lịch sử,0,19,3
31,engaged,thiếu nhi|kinh doanh|khoa học,4,16,2
32,loyal,triết học,3,29,3
33,champion,triết học,4,49,11
34,loyal,thiếu nhi|tâm lý,0,43,4
35,loyal,thiếu nhi|tâm lý|nghệ thuật,4,38,7
36,champion,văn học|thiếu nhi|lập trình,1,35,8
37,loyal,kinh doanh|triết học,0,33,4
38,engaged,tiểu thuyết|kỹ năng sống|nghệ thuật,3,21,1
39,champion,tâm lý|lập trình,4,50,8
40,engaged,thiếu nhi,3,16,2
41,loyal,triết học,2,31,4
42,loyal,kỹ năng sống|toán học|văn học,0,28,5
43,champion,tiểu thuyết|khoa học,3,48,9
44,loyal,toán học|văn học|khoa học,1,43,6
45,engaged,khoa học,2,10,1
46,engaged,khoa học|lập trình,1,15,1
47,loyal,toán học|nghệ thuật|khoa học,3,39,5
48,loyal,nghệ thuật|lịch sử|tâm lý,0,45,5
49,engaged,khoa học|tiểu thuyết|triết học,1,24,2
50,loyal,toán học|khoa học,4,34,3
51,engaged,văn học|tiểu thuyết,2,28,2
52,champion,kỹ năng sống,3,48,8
53,champion,toán học,2,46,10
54,champion,kinh doanh|nghệ thuật|văn học,1,43,10
55,loyal,khoa học|lập trình,1,41,3
56,loyal,văn học|lịch sử|nghệ thuật,2,32,5
57,loyal,khoa học|lịch sử|văn học,4,29,7
58,loyal,tiểu thuyết,0,23,3
59,champion,nghệ thuật|văn học,4,50,9
60,loyal,kỹ năng sống|tiểu thuyết|kinh doanh,1,17,4
61,loyal,thiếu nhi|lịch sử,3,25,3
62,loyal,toán học|tâm lý|kỹ năng sống,2,43,6
63,engaged,thiếu nhi|toán học|văn học,1,15,2
64,champion,văn học|triết học|lịch sử,2,48,9
65,loyal,nghệ thuật|văn học,2,19,5
66,loyal,nghệ thuật|lập trình,1,36,6
67,loyal,toán học,2,21,4
68,engaged,tâm lý|nghệ thuật|lịch sử,4,21,1
69,champion,kỹ năng sống|văn học|triết học,1,34,8
70,engaged,lịch sử|khoa học|tâm lý,3,17,2
71,loyal,văn học|lịch sử|triết học,3,30,6
72,loyal,thiếu nhi|toán học|nghệ thuật,0,41,5
73,loyal,kỹ năng sống,2,23,3
74,engaged,triết học|tâm lý|văn học,0,9,1
75,loyal,kinh doanh|tiểu thuyết|khoa học,4,23,3
76,loyal,văn học,1,25,3
77,loyal,toán học,1,49,6
78,casual,tiểu thuyết|thiếu nhi,2,6,0
79,engaged,văn học|toán học,4,12,2
80,loyal,lập trình,2,19,3
81,loyal,khoa học|triết học|lịch sử,3,37,7
82,engaged,nghệ thuật|kinh doanh|kỹ năng sống,2,16,2
83,engaged,thiếu nhi|toán học,2,21,2
84,loyal,toán học|lập trình|tâm lý,0,40,7
85,loyal,lập trình|lịch sử|kinh doanh,2,16,4
86,casual,kỹ năng sống,3,31,0
87,loyal,thiếu nhi|kỹ năng sống,2,28,5
88,engaged,kỹ năng sống,1,14,1
89,engaged,lịch sử|tâm lý,2,10,2
90,engaged,khoa học|toán học,3,22,1
91,loyal,toán học|nghệ thuật|tiểu thuyết,4,24,4
92,loyal,tâm lý,3,28,4
93,loyal,khoa học|triết học|văn học,1,33,3
94,loyal,nghệ thuật|thiếu nhi,1,44,6
95,engaged,thiếu nhi,1,15,2
96,engaged,lập trình|thiếu nhi,4,18,2
97,engaged,triết học|kinh doanh|kỹ năng sống,3,31,1
98,casual,tiểu thuyết|lịch sử,3,7,0
99,engaged,tâm lý|tiểu thuyết|kinh doanh,4,19,1
100,loyal,kinh doanh|lập trình|thiếu nhi,3,32,5
101,engaged,nghệ thuật,1,13,1
102,engaged,triết học|toán học,0,22,2
103,casual,toán học,3,8,0
104,loyal,lập trình|tiểu thuyết|kỹ năng sống,2,29,6
105,loyal,toán học|nghệ thuật|lịch sử,4,35,5
106,loyal,khoa học,1,33,7
107,casual,nghệ thuật|khoa học,1,5,0
108,loyal,lập trình,0,29,5
109,loyal,thiếu nhi|nghệ thuật|kỹ năng sống,3,48,7
110,engaged,thiếu nhi,0,23,2
111,loyal,tiểu thuyết,4,34,7
112,champion,văn học|khoa học,1,48,8
113,loyal,tâm lý|tiểu thuyết,4,40,7
114,loyal,triết học,3,43,3
115,engaged,tâm lý,4,27,2
116,champion,thiếu nhi|kỹ năng sống|tâm lý,4,42,8
117,loyal,nghệ thuật|thiếu nhi|triết học,1,22,4
118,loyal,khoa học|kỹ năng sống,0,44,3
119,engaged,khoa học|thiếu nhi,0,7,1
120,loyal,lịch sử|văn học|kinh doanh,2,38,6
